0 1 0
0.5 0.794922 -0.410156
1 0.426823 -0.736198
1.5 -0.0288085 -0.911262
2 -0.478532 -0.899446
2.5 -0.830119 -0.703174
3 -1.01147 -0.362695
3.5 -0.985384 0.0521639
4 -0.757222 0.456325
4.5 -0.373769 0.766904
5 0.0863349 0.920208
5.5 0.528734 0.884797
6 0.862701 0.667934
6.5 1.01975 0.314092
7 0.967665 -0.104163
7.5 0.717136 -0.501057
8 0.319539 -0.795195
8.5 -0.143589 -0.926256
9 -0.57727 -0.867362
9.5 -0.892566 -0.630591
10 -1.02482 -0.264499
10.5 -0.946898 0.155835
11 -0.674792 0.544211
11.5 -0.264302 0.820982
12 0.200392 0.929387
12.5 0.623989 0.847195
13 0.91962 0.591262
13.5 1.02666 0.214074
14 0.923149 -0.207016
14.5 0.630323 -0.585651
15 0.208232 -0.844182
15.5 -0.256563 -0.92959
16 -0.668742 -0.824359
16.5 -0.943777 -0.55007
17 -1.02526 -0.162974
17.5 -0.896492 0.257545
18 -0.583869 0.625247
18.5 -0.151507 0.864724
19 0.311926 0.926865
19.5 0.711389 0.798927
20 0.964963 0.507146
20.5 1.02064 0.111361
21 0.867012 -0.307262
21.5 0.535576 -0.662873
22 0.0943043 -0.882542
22.5 -0.366307 -0.921222
23 -0.751796 -0.770979
23.5 -0.983109 -0.462625
24 -1.01281 -0.0593969
24.5 -0.834801 0.356012
25 -0.485595 0.698411
25.5 -0.0368049 0.897581
26 0.419533 0.912677
26.5 0.789835 0.740602
27 0.998158 0.416647
27.5 1.00178 0.00724602
28 0.799961 -0.403641
28.5 0.434086 -0.73175
29 -0.0208105 -0.909793
29.5 -0.471439 -0.901257
30 -0.825386 -0.707894
