0 1 0
0.5 0.875 -0.46875
1 0.53125 -0.820312
1.5 0.0546875 -0.966797
2 -0.435547 -0.871582
2.5 -0.816895 -0.558472
3 -0.994019 -0.105743
3.5 -0.922638 0.373421
4 -0.620598 0.75923
4.5 -0.163408 0.955231
5 0.334633 0.912425
5.5 0.749017 0.641512
6 0.976146 0.210222
6.5 0.959238 -0.273624
7 0.702522 -0.689064
7.5 0.270174 -0.932238
8 -0.229717 -0.942353
8.5 -0.672178 -0.716879
9 -0.946595 -0.312185
9.5 -0.984364 0.170554
10 -0.776041 0.610656
10.5 -0.373708 0.898093
11 0.122052 0.961007
11.5 0.587299 0.783669
12 0.905721 0.410414
12.5 0.997713 -0.0654443
13 0.840277 -0.524942
13.5 0.472771 -0.853204
14 -0.012927 -0.968165
14.5 -0.495394 -0.841085
15 -0.854012 -0.503733
15.5 -0.999127 -0.0404488
16 -0.894461 0.432948
16.5 -0.566179 0.798108
17 -0.0963526 0.963741
17.5 0.397562 0.888438
18 0.792086 0.591026
18.5 0.988588 0.145858
19 0.937944 -0.335775
19.5 0.652813 -0.733464
20 0.204479 -0.947788
20.5 -0.294974 -0.925164
21 -0.720684 -0.671249
21.5 -0.966223 -0.249522
22 -0.970207 0.234585
22.5 -0.731638 0.660047
23 -0.31016 0.920496
23.5 0.188858 0.950822
24 0.640662 0.743442
24.5 0.9323 0.350201
25 0.990863 -0.130589
25.5 0.80171 -0.578733
26 0.41213 -0.882193
26.5 -0.0804824 -0.965105
27 -0.552975 -0.806741
27.5 -0.887223 -0.446691
28 -0.999666 0.025031
28.5 -0.862192 0.490495
29 -0.50917 0.833336
29.5 -0.028856 0.967843
30 0.458672 0.860389
