0 1 0
0.5 1 -0.5
1 0.75 -1
1.5 0.25 -1.375
2 -0.4375 -1.5
2.5 -1.1875 -1.28125
3 -1.82812 -0.6875
3.5 -2.17188 0.226562
4 -2.05859 1.3125
4.5 -1.40234 2.3418
5 -0.231445 3.04297
5.5 1.29004 3.15869
6 2.86938 2.51367
6.5 4.12622 1.07898
7 4.66571 -0.984131
7.5 4.17365 -3.31699
8 2.51515 -5.40381
8.5 -0.186752 -6.66138
9 -3.51744 -6.56801
9.5 -6.80145 -4.80929
10 -9.20609 -1.40856
10.5 -9.91037 3.19448
11 -8.31313 8.14967
11.5 -4.2383 12.3062
12 1.91482 14.4254
12.5 9.12751 13.468
13 15.8615 8.90421
13.5 20.3136 0.973464
14 20.8003 -9.18334
14.5 16.2087 -19.5835
15 6.41692 -27.6878
15.5 -7.42701 -30.8963
16 -22.8752 -27.1828
16.5 -36.4666 -15.7452
17 -44.3392 2.48806
17.5 -43.0951 24.6576
18 -30.7663 46.2052
18.5 -7.66371 61.5884
19 23.1305 65.4202
19.5 55.8406 53.855
20 82.7681 25.9347
20.5 95.7354 -15.4493
21 88.0108 -63.3171
21.5 56.3522 -107.322
22 2.69101 -135.499
22.5 -65.0583 -136.844
23 -133.48 -104.315
23.5 -185.638 -37.5748
24 -204.425 55.2441
24.5 -176.803 157.457
25 -98.0747 245.858
25.5 24.8544 294.896
26 172.302 282.468
26.5 313.536 196.317
27 411.695 39.5491
27.5 431.47 -166.298
28 348.32 -382.033
28.5 157.304 -556.193
29 -120.793 -634.845
29.5 -438.215 -574.449
30 -725.44 -355.341
